                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1942,                 1.3717,                 1.4795,                0.91576,                0.84082,                0.90524,                 0.5652,                 1.2979,                0.90682,                 1.1888,             0.00066576,             0.00066576,             0.00066576
                      2,                 1.2162,                  1.042,                 1.4908,                0.94101,                0.85105,                0.93116,                0.65305,                 1.0544,                0.77304,                   1.12,               0.001306,               0.001306,               0.001306
                      3,                  1.195,                 1.0011,                 1.4762,                0.93308,                0.91018,                0.93957,                 0.6692,                0.99646,                0.69267,                 1.0695,              0.0019199,              0.0019199,              0.0019199
                      4,                 1.1394,                0.93143,                 1.4325,                0.94316,                0.89623,                0.94738,                0.67265,                  1.014,                0.68985,                 1.0725,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1211,                0.89575,                 1.4164,                0.94674,                0.90956,                0.95469,                0.69588,                0.95648,                0.62266,                 1.0687,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.0977,                0.86622,                 1.4007,                0.95411,                0.92199,                0.96089,                0.68437,                 1.0185,                0.61003,                 1.0716,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.0757,                0.84242,                 1.3846,                0.94567,                0.91529,                0.95535,                0.69004,                0.92698,                0.59156,                 1.0574,               0.001802,               0.001802,               0.001802
                      8,                 1.0635,                0.82701,                 1.3696,                 0.9667,                0.92666,                0.96776,                0.70573,                0.97316,                0.53378,                 1.0488,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0415,                0.79925,                 1.3615,                 0.9624,                0.93139,                0.96422,                0.72157,                  0.851,                 0.5185,                 1.0233,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0255,                0.79038,                 1.3485,                0.97517,                0.93758,                0.97102,                0.72356,                0.87544,                0.50135,                 1.0238,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0121,                0.77249,                 1.3326,                0.96133,                0.94693,                0.96782,                0.72862,                0.85538,                0.50622,                 1.0139,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0092,                0.76504,                 1.3295,                0.97784,                0.93405,                0.96976,                0.71945,                0.87628,                0.48154,                 1.0276,               0.001604,               0.001604,               0.001604
                     13,                 1.0019,                0.76057,                 1.3268,                0.97795,                0.94486,                0.97367,                0.71239,                0.90792,                0.47763,                  1.028,              0.0015644,              0.0015644,              0.0015644
                     14,                0.98514,                0.74857,                 1.3168,                0.96546,                0.95793,                0.97793,                0.73176,                0.85378,                0.47252,                 1.0021,              0.0015248,              0.0015248,              0.0015248
                     15,                0.97465,                0.73459,                 1.3112,                0.96495,                0.95679,                0.97285,                0.72933,                 0.8819,                0.48137,                 1.0083,              0.0014852,              0.0014852,              0.0014852
                     16,                0.96675,                0.73129,                 1.3044,                 0.9813,                0.94542,                0.97466,                0.72996,                0.88825,                0.45079,                 1.0118,              0.0014456,              0.0014456,              0.0014456
                     17,                0.97089,                0.73045,                 1.3002,                0.97453,                0.94656,                0.97198,                0.72512,                0.87544,                0.45018,                 1.0142,               0.001406,               0.001406,               0.001406
                     18,                0.95469,                0.72284,                 1.2946,                0.95983,                0.95338,                 0.9717,                0.72384,                0.87292,                0.44918,                 1.0152,              0.0013664,              0.0013664,              0.0013664
                     19,                0.94856,                 0.7106,                 1.2908,                0.96579,                0.96305,                0.97491,                0.73824,                0.85903,                0.43107,                 1.0064,              0.0013268,              0.0013268,              0.0013268
                     20,                 0.9349,                0.70223,                 1.2768,                0.97643,                0.95793,                0.97956,                0.74806,                0.83124,                0.41576,                0.99675,              0.0012872,              0.0012872,              0.0012872
                     21,                 0.9368,                 0.7029,                 1.2773,                0.97909,                0.95054,                0.97241,                0.74016,                0.83045,                0.42232,                0.99898,              0.0012476,              0.0012476,              0.0012476
                     22,                0.92282,                0.69114,                 1.2719,                0.97886,                0.94997,                0.97607,                0.73974,                0.83117,                0.41451,                0.99893,               0.001208,               0.001208,               0.001208
                     23,                0.91621,                0.68831,                 1.2659,                0.97009,                0.95679,                 0.9714,                0.74192,                0.83542,                0.42001,                0.99811,              0.0011684,              0.0011684,              0.0011684
                     24,                0.91003,                0.68135,                  1.261,                0.97623,                0.95281,                0.97598,                0.73272,                0.86739,                0.41099,                 1.0032,              0.0011288,              0.0011288,              0.0011288
                     25,                0.90129,                0.66887,                 1.2551,                0.97789,                0.95535,                0.97842,                0.74072,                0.84293,                0.40852,                 1.0007,              0.0010892,              0.0010892,              0.0010892
                     26,                0.89283,                 0.6684,                 1.2545,                0.97675,                0.95566,                0.98052,                0.74374,                0.84113,                0.40394,                0.99703,              0.0010496,              0.0010496,              0.0010496
                     27,                0.88716,                0.65872,                 1.2455,                0.97521,                0.95623,                0.97512,                 0.7497,                0.81855,                0.39657,                0.99003,                0.00101,                0.00101,                0.00101
                     28,                0.88498,                0.65518,                 1.2408,                 0.9705,                0.95964,                0.97236,                0.74428,                0.83391,                0.40134,                 1.0019,              0.0009704,              0.0009704,              0.0009704
                     29,                 0.8732,                0.64839,                  1.235,                0.97798,                0.95946,                0.97319,                0.74215,                0.84299,                0.40114,                  1.003,              0.0009308,              0.0009308,              0.0009308
                     30,                  0.869,                0.64697,                 1.2331,                 0.9767,                0.95322,                0.97232,                0.74319,                0.83387,                0.39509,                0.99824,              0.0008912,              0.0008912,              0.0008912
                     31,                 0.8577,                0.64274,                 1.2255,                0.97518,                0.96058,                0.97556,                0.73927,                 0.8527,                0.38965,                 1.0001,              0.0008516,              0.0008516,              0.0008516
                     32,                0.85197,                0.63672,                 1.2199,                0.98016,                0.95503,                0.97659,                0.75149,                0.81993,                0.37893,                0.98601,               0.000812,               0.000812,               0.000812
                     33,                0.84754,                0.62645,                 1.2194,                0.97849,                 0.9585,                0.97517,                0.74806,                 0.8315,                0.37908,                0.99195,              0.0007724,              0.0007724,              0.0007724
                     34,                0.83564,                0.61152,                 1.2109,                0.97798,                0.96134,                0.97619,                0.74613,                0.83817,                  0.382,                0.99579,              0.0007328,              0.0007328,              0.0007328
                     35,                0.83431,                0.61015,                 1.2027,                0.98054,                0.95452,                0.97269,                0.74652,                0.82032,                0.37305,                0.99175,              0.0006932,              0.0006932,              0.0006932
                     36,                0.81969,                0.60359,                 1.2026,                0.97852,                0.95833,                0.97228,                0.74665,                0.81361,                0.37357,                0.98661,              0.0006536,              0.0006536,              0.0006536
                     37,                0.81421,                0.60334,                 1.1963,                0.97621,                 0.9585,                0.97424,                0.74794,                0.82334,                0.37641,                0.98895,               0.000614,               0.000614,               0.000614
                     38,                0.81021,                0.60234,                 1.1927,                0.97594,                0.95623,                0.97224,                0.74926,                0.81788,                0.37571,                0.98991,              0.0005744,              0.0005744,              0.0005744
                     39,                0.79982,                0.58823,                 1.1844,                0.97421,                0.96134,                0.97554,                0.75023,                0.82503,                0.37276,                0.98885,              0.0005348,              0.0005348,              0.0005348
                     40,                0.79725,                0.59335,                 1.1834,                0.98128,                0.95373,                 0.9748,                 0.7493,                0.82446,                0.37121,                 0.9918,              0.0004952,              0.0004952,              0.0004952
                     41,                0.78244,                0.55049,                 1.2046,                0.97517,                0.95679,                 0.9745,                0.74192,                0.83331,                0.37386,                0.99166,              0.0004556,              0.0004556,              0.0004556
                     42,                0.76831,                0.53479,                 1.1873,                0.97521,                0.95736,                0.97647,                0.75007,                0.82931,                0.37516,                0.98675,               0.000416,               0.000416,               0.000416
                     43,                0.75627,                0.52058,                 1.1796,                0.97992,                0.95964,                0.97522,                 0.7477,                0.82055,                0.37025,                0.98578,              0.0003764,              0.0003764,              0.0003764
                     44,                0.74328,                0.50564,                 1.1701,                0.98194,                0.95836,                0.97646,                0.75065,                 0.8332,                0.36516,                0.99167,              0.0003368,              0.0003368,              0.0003368
                     45,                0.73681,                0.50066,                 1.1648,                 0.9819,                0.95595,                0.97275,                0.75056,                 0.8256,                0.36343,                 0.9932,              0.0002972,              0.0002972,              0.0002972
                     46,                0.72492,                0.49121,                 1.1569,                0.98306,                0.95697,                0.97614,                0.74991,                0.83021,                0.36552,                0.99355,              0.0002576,              0.0002576,              0.0002576
                     47,                0.71664,                0.48499,                 1.1493,                0.98268,                0.95509,                0.97646,                0.74799,                0.83419,                0.36348,                0.99709,               0.000218,               0.000218,               0.000218
                     48,                0.70765,                 0.4751,                  1.143,                0.98704,                0.95271,                0.97502,                0.74553,                0.83608,                0.36293,                0.99928,              0.0001784,              0.0001784,              0.0001784
                     49,                0.70065,                0.46875,                 1.1354,                0.98417,                0.95456,                 0.9755,                 0.7464,                0.83256,                0.36563,                0.99751,              0.0001388,              0.0001388,              0.0001388
                     50,                 0.6944,                0.46049,                 1.1319,                0.98534,                0.95551,                0.97551,                0.74569,                0.83363,                 0.3636,                0.99634,               9.92e-05,               9.92e-05,               9.92e-05
